Glottocode	Verb_final	Free_word_order	Nominal_case	Family_ID
okoe1238	0	0	0	Atlantic-Congo
yeyi1239	0	1	0	Atlantic-Congo
phak1238	0	0	0	Tai-Kadai
taga1270	0	1	1	Austronesian
thai1261	0	0	0	Tai-Kadai
yong1276	0	0	0	Tai-Kadai
bekw1242	0	0	0	Atlantic-Congo
biak1248	0	0	0	Austronesian
seng1281	0	0	0	Austronesian
hinu1240	1	1	1	Nakh-Daghestanian
hlai1239	0	0	0	Tai-Kadai
laoo1244	0	0	0	Tai-Kadai
liki1240	0	0	0	Atlantic-Congo
muna1247	0	1	0	Austronesian
puyu1239	0	0	1	Austronesian
qaua1234	0	0	0	Tai-Kadai
tsou1248	0	0	1	Austronesian
loba1239	0	0	0	Atlantic-Congo
